Wall time,Step,Value
1741148030.68346,19,4.59024715423584
1741148108.2299528,43,4.260108470916748
1741148118.3313262,46,4.210639476776123
1741148154.6792045,57,4.262096405029297
1741148204.9188478,72,3.9684677124023438
1741148214.7729082,75,4.839416980743408
1741148291.0019593,95,4.0308146476745605
1741148504.7709875,156,4.192340850830078
1741148515.6991713,159,4.26494026184082
1741148547.3095853,168,4.88063383102417
1741148762.9459171,230,4.137947082519531
1741148781.6048532,235,4.113732814788818
1741148855.6418612,256,4.393904209136963
1741148874.358646,261,4.197785377502441
1741148897.9214358,268,4.003579616546631
1741148918.4777749,274,4.851412773132324
1741149042.0929177,309,5.201835632324219
1741149049.8527455,311,4.315277099609375
1741149077.6539125,319,4.298179626464844
1741149176.97992,348,4.463567733764648
1741149247.1701703,368,5.087102890014648
1741149433.8992355,422,4.5790019035339355
1741149436.923026,423,4.733260154724121
1741149506.8010774,443,4.515616416931152
1741149569.8767188,461,4.378206729888916
1741149620.0488443,475,4.429495334625244
1741149833.2439644,537,4.1635212898254395
1741149927.3198822,564,4.4338603019714355
1741149983.2846878,580,3.7247259616851807
1741150008.8120096,587,4.8131914138793945
1741150011.746485,588,4.781677722930908
1741150129.8792539,621,4.272770881652832
1741150179.8413124,635,4.153689384460449
1741150208.217426,643,3.6654868125915527
1741150224.7779098,648,4.5465545654296875
1741150232.7974124,650,3.9323837757110596
1741150275.4789302,662,4.315611362457275
1741150310.5378761,672,5.059207439422607
1741150465.6086164,715,4.400607585906982
1741150494.6802678,723,4.415317058563232
1741150521.7316015,731,4.846169471740723
1741150612.264614,757,4.6987175941467285
1741150643.307366,766,3.8683524131774902
1741150657.2870407,770,4.017664909362793
1741150664.0476177,772,4.184468746185303
1741150713.9687734,786,3.9553046226501465
1741150720.31555,788,4.382418155670166
1741150746.032562,795,4.11891508102417
1741150774.3653924,803,4.443509101867676
1741150795.6031628,809,4.73676872253418
1741150893.3953993,837,4.276490211486816
1741151148.59704,910,4.493870735168457
1741151264.1581314,943,4.156090259552002
1741151274.6786406,946,4.421606540679932
1741151334.7535238,963,4.296224117279053
1741151366.9853187,972,4.574455261230469
1741151370.9600048,973,4.341361999511719
1741151392.5653696,979,4.285084247589111
1741151395.8296924,980,4.341029167175293
1741151414.3690658,985,4.654001712799072
1741151477.3402739,1003,4.364631175994873
1741151487.7314105,1006,4.3386688232421875
1741151522.7932763,1015,4.576493263244629
1741151696.6856055,1064,4.299352645874023
1741151707.922078,1067,4.651494026184082
1741151728.2696924,1073,4.73462438583374
1741151752.3054492,1079,4.355204105377197
1741151768.0334487,1084,4.119516372680664
1741151800.5711937,1094,4.413806438446045
1741151820.0960402,1100,4.565125465393066
1741151837.7355473,1105,4.387474060058594
1741152039.1087701,1157,4.204036235809326
1741152059.3353975,1162,3.778134822845459
1741152062.6822658,1163,4.4399943351745605
1741152127.7458112,1181,4.2765984535217285
1741152180.1314094,1194,4.673828125
1741152228.3568661,1207,4.234666347503662
1741152375.2337031,1245,4.07414436340332
1741152436.8116703,1262,3.8619227409362793
1741152508.3864534,1282,3.7388205528259277
1741152554.243388,1295,4.077370643615723
1741152649.580536,1317,3.9149980545043945
1741152663.4989128,1320,4.384053707122803
1741152719.9496458,1334,4.801846027374268
1741152734.1417,1338,4.611470699310303
1741152905.472114,1386,4.105259418487549
1741152930.302458,1393,4.402802467346191
1741153007.6159687,1415,4.124365329742432
1741153051.092793,1427,3.81657075881958
1741153086.7187264,1437,4.433010578155518
1741153193.7924182,1467,3.916677951812744
1741153231.1659503,1478,4.144221782684326
1741153260.0043774,1486,3.9953577518463135
1741153280.641376,1492,4.693573951721191
1741153395.1908891,1524,4.179256916046143
1741153409.1437852,1528,4.300345420837402
1741153497.9521692,1553,3.7084779739379883
1741153557.363301,1569,4.422504901885986
1741153559.9632158,1570,4.04981803894043
1741153613.4339628,1585,4.025733470916748
1741153627.6006854,1589,4.395073413848877
1741153689.1703196,1606,3.8143298625946045
1741153817.8060925,1641,4.95035982131958
1741153846.0861645,1649,3.890463352203369
1741153918.0965314,1669,4.065255165100098
1741153967.2206078,1683,4.036069869995117
1741153999.9762783,1692,4.530867099761963
1741154022.636927,1698,4.099738597869873
1741154040.394936,1703,4.5810017585754395
1741154065.5517523,1710,3.974653720855713
1741154098.096419,1719,3.6987879276275635
1741154146.893275,1733,4.035008907318115
1741154152.9452682,1735,4.312748432159424
1741154162.80643,1738,4.11727237701416
1741154190.6979768,1747,4.344911575317383
1741154314.71334,1782,4.411129474639893
1741154400.954581,1806,4.1735382080078125
1741154467.976769,1827,4.050783157348633
1741154531.647775,1845,4.165373802185059
1741154563.363962,1854,3.681655168533325
1741154610.513037,1867,4.445320129394531
1741154620.3731096,1870,4.782713890075684
1741154649.4095767,1878,4.092161178588867
1741154789.8316207,1918,4.074185371398926
1741154850.2422352,1935,3.9831855297088623
1741154885.760894,1945,4.280129909515381
1741154896.7136369,1948,4.088519096374512
1741154967.2260714,1968,4.393301963806152
1741155022.4755604,1984,4.66519832611084
1741155084.197342,2002,4.600618839263916
1741155126.2019072,2014,4.967494010925293
1741155184.8282435,2031,4.210415840148926
1741155206.4742997,2037,4.178603649139404
1741155288.2644732,2061,4.660450458526611
1741155327.865112,2074,4.335577487945557
1741155338.172488,2077,4.489988327026367
1741155341.1412423,2078,4.165367603302002
1741155370.180344,2086,3.768770933151245
1741155383.835098,2090,4.233452320098877
1741155407.9379218,2097,4.059812545776367
1741155577.9811037,2146,4.493016719818115
1741155591.9028475,2150,5.086305141448975
1741155615.6759038,2157,4.392485618591309
1741155647.3596694,2166,4.424615859985352
1741155724.284719,2188,4.4862871170043945
1741155738.7672668,2192,4.6577534675598145
1741155769.4329197,2200,4.105501174926758
1741155797.7249727,2208,3.9817960262298584
1741155812.093449,2212,4.194450855255127
1741155880.0925887,2232,4.564910888671875
1741155898.011973,2237,4.283154487609863
1741155901.1524067,2238,4.325833797454834
1741155918.2329063,2243,4.353292942047119
1741155959.2362738,2255,4.373497009277344
1741155970.3641043,2258,3.885599136352539
1741155987.9760504,2263,4.344554424285889
1741156055.2999995,2282,4.527764320373535
1741156111.829016,2298,4.48805570602417
1741156148.219436,2308,4.010568618774414
1741156191.4615064,2320,3.819722890853882
1741156285.054405,2346,4.090353488922119
1741156316.717464,2355,3.9888904094696045
1741156443.0691643,2390,4.056694030761719
1741156446.5716197,2391,4.480717658996582
1741156453.7301385,2393,3.857956886291504
1741156609.6006238,2437,4.741855621337891
1741156637.7250445,2445,4.689152240753174
1741156669.5665326,2454,4.369995594024658
1741156676.634582,2456,3.841259717941284
1741156695.6476712,2461,4.077104091644287
1741156784.8011358,2486,3.7342472076416016
1741156787.8454163,2487,4.080587387084961
1741156822.898187,2497,4.200467586517334
1741156829.951926,2499,3.9949214458465576
1741156847.1872995,2504,4.230062961578369
1741156897.7070768,2518,3.743044137954712
1741156919.5313866,2524,3.9155848026275635
1741156951.338603,2533,4.250632286071777
1741157003.9547381,2548,4.085915565490723
1741157025.6877198,2554,4.176324367523193
1741157190.880141,2601,3.5946507453918457
1741157211.3142948,2607,3.647031784057617
1741157272.6769047,2624,4.843759536743164
1741157292.5551448,2630,3.5828521251678467
1741157461.8982368,2679,3.7524726390838623
1741157487.6620514,2686,4.332586765289307
1741157504.6032214,2691,4.3063507080078125
1741157550.0509603,2704,3.8920552730560303
1741157677.2498798,2741,4.360205173492432
1741157722.1881218,2755,4.220663070678711
1741157849.0796003,2790,4.568408489227295
1741158137.6517932,2873,3.6469051837921143
1741158169.5329304,2882,4.1517252922058105
1741158201.7113218,2891,3.6500422954559326
1741158222.070763,2897,3.995262861251831
1741158306.3206894,2921,2.986816644668579
1741158475.121858,2968,4.582757949829102
1741158503.3519397,2976,4.4894118309021
1741158630.3993769,3012,4.020475387573242
1741158686.873903,3028,4.028850078582764
1741158697.523211,3031,4.71199893951416
1741158727.0147355,3039,4.408320903778076
1741158737.8630636,3042,4.146456241607666
1741158821.3300893,3066,4.035994052886963
1741158834.6501815,3070,4.006903648376465
1741158939.724406,3100,4.5322794914245605
1741159075.1962209,3138,4.064881801605225
1741159137.22524,3156,4.120635986328125
1741159160.2910433,3162,3.9202919006347656
1741159215.967353,3178,4.277706623077393
1741159281.024208,3196,4.4984540939331055
1741159284.5172503,3197,3.806734085083008
1741159407.815989,3231,4.220104694366455
1741159443.2753565,3241,4.363238334655762
1741159454.0682962,3244,4.357152462005615
1741159456.5487964,3245,4.790246486663818
1741159463.5140097,3247,4.015809535980225
1741159466.4664226,3248,3.9188926219940186
1741159554.461128,3273,3.8287391662597656
1741159671.5238762,3306,3.3778021335601807
1741159812.3582525,3346,3.9230575561523438
1741159923.2812724,3377,4.158993244171143
1741160018.0100431,3404,4.292585372924805
1741160036.057968,3409,4.1901350021362305
1741160112.084069,3431,4.0181684494018555
1741160181.833675,3450,3.763181209564209
1741160234.9251502,3465,4.243225574493408
1741160291.9079735,3481,4.520043849945068
1741160395.2422101,3510,4.111050128936768
1741160406.0585003,3513,4.0912580490112305
1741160494.8982432,3538,3.7795186042785645
1741160590.0148556,3564,4.934953689575195
1741160649.588127,3581,3.6361541748046875
1741160714.344863,3601,3.873750925064087
1741160781.7121627,3619,4.133930683135986
1741160788.3509924,3621,4.7823357582092285
1741160795.7557185,3623,4.2808661460876465
